Team,Goals,Shots pg,Discipline,Possession,Pass,AerialsWon,Rating,Year
Stoke,43,11.3,725,48.1,77.3,25.3,6.83,2013-2014
Newcastle United,43,15.2,526,49.8,79.4,20.6,6.82,2013-2014
Swansea,49,13,553,55.6,84.8,14.9,6.81,2013-2014
West Ham,38,11.1,625,44.2,73.1,21.2,6.79,2013-2014
West Bromwich Albion,43,12.8,670,47.2,77.1,18.2,6.75,2013-2014
Hull,38,11.3,534,45.9,76.1,18.9,6.72,2013-2014
Aston Villa,42,11.3,780,44.8,73.2,19.3,6.71,2013-2014
Sunderland,47,12.9,697,46.7,77.5,15,6.68,2013-2014
Norwich,31,12.3,622,46.4,75.9,15.8,6.66,2013-2014
Fulham,43,11.3,581,45.7,78,17.1,6.66,2013-2014
Cardiff,30,11,491,45.9,75.4,18.5,6.64,2013-2014
Arsenal,70,16.1,682,55.7,83.8,19.8,7.15,2014-2015
Manchester City,84,17.6,772,57,84.6,15.9,7.07,2014-2015
Chelsea,73,14.8,734,54.1,83.2,18.6,7.06,2014-2015
Manchester United,61,13.5,645,58.8,85.1,15.8,6.99,2014-2015
Southampton,49,13.4,573,51.9,79.7,16.9,6.91,2014-2015
Liverpool,51,15.5,663,54.3,82.8,14.9,6.9,2014-2015
Tottenham,58,13.9,794,55.2,81.2,16,6.89,2014-2015
Stoke,47,13.2,821,50.2,77.5,24.4,6.87,2014-2015
Swansea,44,11.2,485,50.7,82.1,14.4,6.86,2014-2015
West Ham,45,12.9,642,46.7,74.6,22.9,6.85,2014-2015
Leicester,51,12,504,44.8,71.1,23.4,6.84,2014-2015
Crystal Palace,46,11.6,634,42.7,69.4,23.7,6.83,2014-2015
Everton,48,12.7,662,53.6,82.5,15.3,6.82,2014-2015
Burnley,29,11.3,642,44,70.3,25.1,6.79,2014-2015
Queens Park Rangers,42,14.1,753,46.3,70.8,21.7,6.77,2014-2015
West Bromwich Albion,37,10.8,643,44.9,75,17.2,6.77,2014-2015
Sunderland,35,10.7,942,46.2,76.1,15.3,6.75,2014-2015
Hull,32,11.3,736,45.6,76.5,21.9,6.75,2014-2015
Newcastle United,41,12.3,657,48.1,76.9,17.7,6.74,2014-2015
Aston Villa,32,11,707,49.1,79,18.5,6.69,2014-2015
Arsenal,66,15.1,404,56.9,84.2,15.2,7.08,2015-2016
Leicester,68,13.7,483,44.7,70.5,18.8,7.06,2015-2016
Tottenham,71,17.3,720,55.3,80.5,14.3,7.01,2015-2016
Manchester City,71,16.2,610,55.2,83.1,15.7,7.01,2015-2016
West Ham,67,14.7,585,49.1,77.6,17.7,6.92,2015-2016
Southampton,57,13.7,576,49.3,77.7,19.3,6.91,2015-2016
Liverpool,63,16.6,613,55,80.2,16.5,6.91,2015-2016
